timestamp,domain,platform,source,content,raw_content,sentiment_score,sentiment_label
,Politics,telegram,MQ_QU,قوى الأمن العام بالتعاون مع وحدات من وزارة الدفاع تنفذ حملة أمنية في قرية الهري قرب الحدود العراقية السورية تستهدف أوكار تجار السلاح ومروجي المخدرات وتسفر عن مداهمات ناجحة ضمن جهود تعزيز الأمن ومكافحة الجريمة في المنطقة الحدودية ــــــــــــــــــــــــــــ httpstmemq_qu,"●قوى الأمن العام، بالتعاون مع وحدات من وزارة الدفاع، تنفذ حملة أمنية في قرية الهري قرب الحدود العراقية السورية، تستهدف أوكار تجار السلاح ومروّجي المخدرات، وتسفر عن مداهمات ناجحة ضمن جهود تعزيز الأمن ومكافحة الجريمة في المنطقة الحدودية.
ــــــــــــــــــــــــــــ
https://t.me/MQ_QU",0.22813642024993896,negative
,Politics,telegram,MQ_QU,قوى الأمن العام بالتعاون مع وحدات من وزارة الدفاع تنفذ حملة أمنية في قرية الهري قرب الحدود العراقية السورية تستهدف أوكار تجار السلاح ومروجي المخدرات وتسفر عن مداهمات ناجحة ضمن جهود تعزيز الأمن ومكافحة الجريمة في المنطقة الحدودية ــــــــــــــــــــــــــــ httpstmemq_qu,"●قوى الأمن العام، بالتعاون مع وحدات من وزارة الدفاع، تنفذ حملة أمنية في قرية الهري قرب الحدود العراقية السورية، تستهدف أوكار تجار السلاح ومروّجي المخدرات، وتسفر عن مداهمات ناجحة ضمن جهود تعزيز الأمن ومكافحة الجريمة في المنطقة الحدودية.
ــــــــــــــــــــــــــــ
https://t.me/MQ_QU",0.22813642024993896,negative
,Politics,telegram,MQ_QU,مسؤولة السياسة الخارجية بالاتحاد الأوروبي كايا كالاس عبر منصة x اتخذنا اليوم قرارا برفع عقوباتنا الاقتصادية عن سوريا نريد مساعدة الشعب السوري على بناء سوريا جديدة شاملة وسلمية الاتحاد الأوروبي وقف إلى جانب السوريين على مدار الـ 14 عاما الماضية وسيواصل ذلك ــــــــــــــــــــــــــــ httpstmemq_qu,"●مسؤولة السياسة الخارجية بالاتحاد الأوروبي ""كايا كالاس"" عبر منصة X:

اتخذنا اليوم قراراً برفع عقوباتنا الاقتصادية عن سوريا.

نريد مساعدة الشعب السوري على بناء سوريا جديدة شاملة وسلمية.

الاتحاد الأوروبي وقف إلى جانب السوريين على مدار الـ 14 عاماً الماضية وسيواصل ذلك.
ــــــــــــــــــــــــــــ
https://t.me/MQ_QU",0.17907756567001343,negative
,Politics,telegram,MQ_QU,رويترز تقول إن الحكومة السورية الجديدة سلمت إسرائيل أرشيف إيلي كوهين كبادرة حسن نية ــــــــــــــــــــــــــــ httpstmemq_qu,"●رويترز تقول إن الحكومة السورية الجديدة سلمت إسرائيل أرشيف إيلي كوهين كبادرة حسن نية
ــــــــــــــــــــــــــــ
https://t.me/MQ_QU",0.2770591378211975,negative
,Politics,telegram,MQ_QU,الجمهورية العربية السورية ترحب بإعلان رفع عقوبات الاتحاد الأوروبي الاقتصادية ــــــــــــــــــــــــــــ httpstmemq_qu,"●الجمهورية العربية السورية ترحب بإعلان رفع عقوبات الاتحاد الأوروبي الاقتصادية.
ــــــــــــــــــــــــــــ
https://t.me/MQ_QU",0.2848636507987976,negative
,Politics,telegram,MQ_QU,الجمهورية العربية السورية ترحب بإعلان رفع عقوبات الاتحاد الأوروبي الاقتصادية ــــــــــــــــــــــــــــ httpstmemq_qu,"●الجمهورية العربية السورية ترحب بإعلان رفع عقوبات الاتحاد الأوروبي الاقتصادية.
ــــــــــــــــــــــــــــ
https://t.me/MQ_QU",0.2848636507987976,negative
,Politics,telegram,MQ_QU,رويترز تقول إن الحكومة السورية الجديدة سلمت إسرائيل أرشيف إيلي كوهين كبادرة حسن نية ــــــــــــــــــــــــــــ httpstmemq_qu,●رويترز تقول إن الحكومة السورية الجديدة سلمت إسرائيل أرشيف إيلي كوهين كبادرة حسن نية ــــــــــــــــــــــــــــ https://t.me/MQ_QU,0.2770591378211975,negative
,Politics,telegram,MQ_QU,إعلام إسرائيلي في إسرائيل المسؤولين ينفون ما قالته رويترز عن أن الجولاني سلم أرشيف إيلي كوهين ــــــــــــــــــــــــــــ httpstmemq_qu,"●إعلام إسرائيلي: في إسرائيل (المسؤولين) ينفون ما قالته رويترز عن أن الجولاني سلّم أرشيف إيلي كوهين.
ــــــــــــــــــــــــــــ
https://t.me/MQ_QU",0.3904677629470825,negative
,Politics,telegram,MQ_QU,قائد القوى الجوية في وزارة الدفاع العميد عاصم هواري برفقة رئيس أركان القوى الجوية العميد مصطفى بكور يجريان جولة تفقدية في مطار السين العسكري للاطلاع على جاهزيته الفنية وبنيته التحتية تمهيدا لإعادة تفعيله ووضعه في الخدمة وذلك بعد تعرضه لمحاولات تخريب متكررة بهدف تعطيله ــــــــــــــــــــــــــــ httpstmemq_qu,"●قائد القوى الجوية في وزارة الدفاع العميد عاصم هواري برفقة رئيس أركان القوى الجوية العميد مصطفى بكور يجريان جولة تفقدية في مطار السين العسكري للاطلاع على جاهزيته الفنية وبُنيته التحتية، تمهيداً لإعادة تفعيله ووضعه في الخدمة، وذلك بعد تعرضه لمحاولات تخريب متكررة بهدف تعطيله.
ــــــــــــــــــــــــــــ
https://t.me/MQ_QU",0.23542797565460205,negative
,Politics,telegram,MQ_QU,قائد القوى الجوية في وزارة الدفاع العميد عاصم هواري برفقة رئيس أركان القوى الجوية العميد مصطفى بكور يجريان جولة تفقدية في مطار السين العسكري للاطلاع على جاهزيته الفنية وبنيته التحتية تمهيدا لإعادة تفعيله ووضعه في الخدمة وذلك بعد تعرضه لمحاولات تخريب متكررة بهدف تعطيله ــــــــــــــــــــــــــــ httpstmemq_qu,"●قائد القوى الجوية في وزارة الدفاع العميد عاصم هواري برفقة رئيس أركان القوى الجوية العميد مصطفى بكور يجريان جولة تفقدية في مطار السين العسكري للاطلاع على جاهزيته الفنية وبُنيته التحتية، تمهيداً لإعادة تفعيله ووضعه في الخدمة، وذلك بعد تعرضه لمحاولات تخريب متكررة بهدف تعطيله.
ــــــــــــــــــــــــــــ
https://t.me/MQ_QU",0.23542797565460205,negative
,Politics,telegram,MQ_QU,وزير خارجية النرويج أرحب بقرار الاتحاد الأوروبي رفع العقوبات عن سوريا وهي خطوة طالما دعمتها النرويج يجب أن نتيح لحكومة الرئيس الشرع والشعب السوري فرصة إعادة بناء سوريا وتوحيدها ــــــــــــــــــــــــــــ httpstmemq_qu,"●وزير خارجية النرويج:

أرحب بقرار الاتحاد الأوروبي رفع العقوبات عن سوريا وهي خطوة طالما دعمتها النرويج.

يجب أن نتيح لحكومة الرئيس الشرع والشعب السوري فرصة إعادة بناء سوريا وتوحيدها.
ــــــــــــــــــــــــــــ
https://t.me/MQ_QU",0.24588090181350708,negative
,Politics,telegram,MQ_QU,قوات سوريا الديمقراطية نجحت قواتنا في إحباط هجومين لتنظيم داعش في ريفي دير الزور والحسكة وقع الهجوم الأول في بلدة مركدة جنوب الحسكة حيث اعترض حاجز أمني سيارة محملة بالأسلحة والذخيرة شنت خلية تابعة لداعش هجوما على الحاجز لكن قواتنا صدت الهجوم وقع الهجوم الثاني في بلدة سويدان بدير الزور حيث استهدفت خلية إرهابية إحدى دورياتنا الأمنية لم تسجل أي إصابات في صفوف قواتنا ــــــــــــــــــــــــــــ httpstmemq_qu,"●قوات سوريا الديمقراطية:

نجحت قواتنا في إحباط هجومين لتنظيم داعش في ريفي دير الزور والحسكة.

وقع الهجوم الأول في بلدة مركدة جنوب الحسكة، حيث اعترض حاجز أمني سيارة محملة بالأسلحة والذخيرة. شنت خلية تابعة لداعش هجومًا على الحاجز، لكن قواتنا صدت الهجوم.

وقع الهجوم الثاني في بلدة سويدان بدير الزور، حيث استهدفت خلية إرهابية إحدى دورياتنا الأمنية. لم تُسجل أي إصابات في صفوف قواتنا.
ــــــــــــــــــــــــــــ
https://t.me/MQ_QU",0.19299429655075073,negative
,Politics,telegram,MQ_QU,وزير الخارجية الأمريكي من مصلحتنا تخفيف العقوبات على سوريا ورفعها من قائمة الدول الداعمة للإرهاب إذا أوفت بالمعايير ــــــــــــــــــــــــــــ httpstmemq_qu,"●وزير الخارجية الأمريكي: من مصلحتنا تخفيف العقوبات على سوريا ورفعها من قائمة الدول الداعمة للإرهاب إذا أوفت بالمعايير.
ــــــــــــــــــــــــــــ
https://t.me/MQ_QU",0.28052961826324463,negative
,Politics,telegram,MQ_QU,شخص يستقل سيارة يصور نساء يرتدين النقاب ويصفهم بداعش في ساحة الأمويين بالعاصمة دمشق ــــــــــــــــــــــــــــ httpstmemq_qu,"●شخص يستقل سيارة يصور نساء يرتدين النقاب ويصفهم بداعش في ساحة الأمويين بالعاصمة دمشق.
ــــــــــــــــــــــــــــ
https://t.me/MQ_QU",0.2197619080543518,negative
