"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1951591868443050376""","شاهد عيان #حلب || بدء ضخ الغاز الأذربيجاني إلى سوريا عبر تركيا بعد الانتهاء من صيانة محطات توليد الكهرباء في حلب
_____
6 https://t.co/9EVrcYl1Pp","Tweet","شاهد عيان حلب","shahed_alep","8/2/2025, 1:32:14 PM","0","2","0","6","80","0","ar","No","Twitter Web App","#حلب","https://x.com/shahed_alep/status/1951591868443050376","video","https://video.twimg.com/amplify_video/1951591240664752128/vid/avc1/1280x720/emiqhr4scrEPwHaG.mp4?tag=14",""
"=""1951588062447735223""","البنية التحتية موجودة وجاهزة من عدة أسابيع واليوم بدأ ضخ الغاز الأذربيجاني لمحطات توليد الكهرباء في سوريا عن طريق تركيا https://t.co/aAPSu8MKNh","Tweet","شريف حجازي","sharifhijazi11","8/2/2025, 1:17:07 PM","0","2","1","25","446","0","ar","No","Twitter for Android","","https://x.com/sharifhijazi11/status/1951588062447735223","photo","https://pbs.twimg.com/media/GxVvAC7WwAAcfGw.jpg",""
"=""1951585697460031638""","بدأ ضخ الغاز الأذربيجاني عبر تركيا إلى سوريا بتمويل كامل من دولة قطر  لرفع ساعات الكهرباء لسوريا.
الحمد لله https://t.co/Qevq8I6zyG","Tweet","خالد زينه","khaledzena1980","8/2/2025, 1:07:43 PM","0","0","0","1","30","0","ar","No","Twitter for Android","","https://x.com/khaledzena1980/status/1951585697460031638","photo","https://pbs.twimg.com/media/GxVs0VhX0AEEsCS.jpg",""
"=""1951590146953888176""","عاجل | بسم الله وعلى بركة الله بدأ الآن ضخ الغاز الأذربيجاني عبر تركيا إلى سوريا بتمويل كامل من دولة قطر  لرفع ساعات الكهرباء لسوريا 🇶🇦 🇦🇿 🇹🇷🇸🇾 جزاكم الله عنا كل خير https://t.co/Fah7cqRpYA","Tweet","مؤيد الامام Muayid ALamam","Muayid_ALamam","8/2/2025, 1:25:24 PM","0","0","0","1","22","0","ar","No","Twitter for Android","","https://x.com/Muayid_ALamam/status/1951590146953888176","video","https://video.twimg.com/ext_tw_video/1951589852220178432/pu/vid/avc1/1280x720/TkyyRFi-pDnQ6VTl.mp4?tag=12",""
"=""1951587319351570599""","تركيا تبدأ بتزويد سوريا بالغاز الطبيعي ضمن مشروع إقليمي لإعادة إعمار قطاع الطاقة

التدفق الأول يشمل إمكانية تزويد سوريا بـ2 مليار متر مكعب سنويًا، لتلبية احتياجات 5 ملايين أسرة من الكهرباء
 https://t.co/gR0dOB9C6l","Tweet","TheCradleArabic","TheCradleArabi","8/2/2025, 1:14:10 PM","0","0","0","0","49","0","ar","No","Twitter for iPhone","","https://x.com/TheCradleArabi/status/1951587319351570599","","","https://thecradlearabic.com/arabic/articles-id/32304"
"=""1951584190622843305""","افتُتح اليوم خط غاز إقليمي بين سوريا وتركيا بحضور وزراء الطاقة السوري والتركي، ووزير الاقتصاد الأذربيجاني، وممثلين من قطر. يوفر الخط 6 ملايين م3 غاز يومياً عند التشغيل الكامل، مع بدء بـ3.4 ملايين م3 من الغاز الأذربيجاني عبر تركيا بدعم قطري، لتحسين إمدادات الكهرباء في سوريا. https://t.co/4Gn0ivYK8x","Tweet","Kar•-im","bdwbdw399294","8/2/2025, 1:01:44 PM","0","0","0","5","61","0","ar","No","Twitter for Android","","https://x.com/bdwbdw399294/status/1951584190622843305","photo","https://pbs.twimg.com/media/GxVreajWUAA4Ds7.jpg",""
"=""1951583983977877541""","بدء ضخ الغاز الاذربيجاني الى سوريا عبر خط أنابيب كيليس-حلب من تركيا وفق اتفاق ثلاثي بين سوريا وأذربيجان وتركيا.

يهدف المشروع إلى توريد 3.4 ملايين متر مكعب يومياً (1.2 مليار متر مكعب سنوياً) من الغاز لحلب وحمص، لتوليد 800-900 ميغاواط من الكهرباء، مما يزيد ساعات التغذية الكهربائية https://t.co/i9uZ9m2eoE","Tweet","كواليس سوريا","backstage_24","8/2/2025, 1:00:55 PM","0","4","0","11","475","0","ar","No","Twitter for Android","","https://x.com/backstage_24/status/1951583983977877541","photo","https://pbs.twimg.com/media/GxVrSplXEAAy1u3.jpg",""
"=""1951589459876778104""","وزير الطاقة التركي ألب أرسلان بيرقدار : تصدير الكهرباء إلى #سوريا يتم عبر 8 نقاط مختلفة ومن المنتظر زيادة قدرة التصدير بنسبة 25 بالمئة أولاً وإلى أكثر من الضعف لاحقاً ..

وكالة الأناضول : بدء أول تدفق للغاز الطبيعي من #تركيا إلى #سوريا","Tweet","مراقب سوري Syrian Observer","Syrianobserve1","8/2/2025, 1:22:40 PM","0","0","0","0","25","0","ar","No","Twitter for Android","#سوريا, #تركيا, #سوريا","https://x.com/Syrianobserve1/status/1951589459876778104","","",""
"=""1951589391874539760""","مدير الشركة السورية للغاز :

ضخ الغاز الأذري يبدأ اليوم في محطة غاز #قرى_مزرعة بريف #حلب

الضخ يبدأ بكمية 745 ألف متر مكعب

الضخ سيسهم في تعزيز استقرار الشبكة الكهربائية

سيتم الرفع التدريجي للضخ ليصل أسبوع إلى 3.4 مليون متر مكعب

#أذربيجان #مراقب_سوري #سوريا https://t.co/dpFIyaSRTD","Quoted tweet","مراقب سوري Syrian Observer","Syrianobserve1","8/2/2025, 1:22:24 PM","0","0","1","0","42","0","ar","No","Twitter for Android","#قرى_مزرعة, #حلب, #أذربيجان, #مراقب_سوري, #سوريا","https://x.com/Syrianobserve1/status/1951589391874539760","photo","https://pbs.twimg.com/media/GxVwNaEXEAA0ZZm.jpg",""
"=""1951585513111982389""","بدأ اليوم تدفق الغاز الطبيعي الأذربيجاني، الممول من قطر، من تركيا إلى سوريا. 

ومن المتوقع أن تساهم هذه الخطوة في توفير الكهرباء لملايين المنازل في سوريا.","Tweet","Farah Alkaabneh","farahkaabneh","8/2/2025, 1:06:59 PM","0","0","0","1","89","0","ar","No","Twitter for Android","","https://x.com/farahkaabneh/status/1951585513111982389","","",""
"=""1951563550465413605""","במימון קטר החלה היום הזרמה של גז טבעי אזרי (אזרבייג'ן) מטורקיה לסוריה. המהלך אמור לסייע באספקת חשמל למיליוני בתים בסוריה","Quoted tweet","roi kais • روعي كايس • רועי קייס","kaisos1987","8/2/2025, 11:39:43 AM","1","2","1","29","3840","0","iw","No","Twitter for Android","","https://x.com/kaisos1987/status/1951563550465413605","","",""
"=""1951585290662879417""","أذربيجان تبدأ رسميًا ضخ الغاز الطبيعي إلى سوريا عبر تركيا، بتمويل من قطر، في خطوة من المتوقع أن تساهم في زيادة ساعات الكهرباء في سوريا. https://t.co/TKA2f2ESQZ","Tweet","الرادع التركي 🇹🇷","RD_turk","8/2/2025, 1:06:06 PM","1","3","0","32","1253","0","ar","No","Twitter Web App","","https://x.com/RD_turk/status/1951585290662879417","video","https://video.twimg.com/amplify_video/1951584848746885120/vid/avc1/640x360/iLrW-7aFc-78-kPX.mp4?tag=14",""
"=""1951583123403416015""","لحظة بدء تدفق الغاز الأذربيجاني إلى سوريا عبر تركيا في مراسم رسمية شارك فيها وزير الطاقة محمد البشير ونظيره التركي ألب أرسلان بيرقدار ووزير الاقتصاد الأذربيجاني ميكائيل جباروف ورئيس صندوق التنمية القطري.

#سوريا #تركيا #أذربيجان #الغاز_الطبيعي #الكهرباء #الطاقة #درعا24 https://t.co/fkgrdR9VPn","Tweet","Daraa 24 - 24 درعا","Daraa24_24","8/2/2025, 12:57:29 PM","0","0","0","2","184","0","ar","No","Twitter for Android","#سوريا, #تركيا, #أذربيجان, #الغاز_الطبيعي, #الكهرباء, #الطاقة, #درعا24","https://x.com/Daraa24_24/status/1951583123403416015","video","https://video.twimg.com/ext_tw_video/1951582872873099264/pu/vid/avc1/1280x720/Z2tdyEK7qWbIJMmS.mp4?tag=12",""
"=""1951585156717764904""","#عاجل
 بدأ الآن ضخ الغاز #الأذربيجاني عبر #تركيا لى #سوريا بتمويل كامل من دولة قطر  لرفع ساعات الكهرباء لسوريا
وزير الطاقة محمد البشير الخط سيمكن من توريد ستة ملايين متر مكعب من الغاز يومياً

ستكون البداية بتوريد 3.4 ملايين متر مكعب من الغاز يوميا قادمة من #أذربيجان مروراً بتركيا https://t.co/E3I6XmssfZ","Tweet","SDS","myoyld","8/2/2025, 1:05:34 PM","0","0","0","1","30","0","ar","No","Twitter for iPhone","#عاجل, #الأذربيجاني, #تركيا, #سوريا, #أذربيجان","https://x.com/myoyld/status/1951585156717764904","photo","https://pbs.twimg.com/media/GxVsWvVXoAEt3xQ.jpg",""
