"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1951291914809950572""","@HanadyGerges بدهم يفلحوكم فلاحة 
عارفة شو يعني فلاحة ؟ ورح يزرعوا بطاطا 
وإذا فكرتي تجي على سوريا فأكيد رح نستقبلكم بس وييين؟ بالسجون 
في صيدنايا في المزة في حمص وحماه وإدلب
علمي على كلامي...","Reply","Ahmad Alhamadi","AhmadAlhamadi0","8/1/2025, 5:40:20 PM","1","0","0","0","46","0","ar","No","Twitter for Android","","https://x.com/AhmadAlhamadi0/status/1951291914809950572","","",""
"=""1950987931344154775""","#السعودية_تساند_سوريا من مترو دمشق لبرج الجوهرة من مشروع تجاري في حمص لمطار المزة من الأمن السيبراني إلى بناء مدن حديثة السعودية جايه تبني دولة مو مشروع جايه تزرع أمل مو تتصور صورة وتروح https://t.co/0nLrBX6Gij","Tweet","حسين الفالح","hassanalfalih3","7/31/2025, 9:32:25 PM","0","0","0","1","64","0","ar","No","Twitter for iPhone","#السعودية_تساند_سوريا","https://x.com/hassanalfalih3/status/1950987931344154775","photo","https://pbs.twimg.com/media/GxNNLt4XUAAXIMZ.jpg",""
"=""1951227912373367083""","فقدان السيدة #فريدة_أحمد_ناصر 40 عاماً وتنحدر من #أبو_قبيس وهي متزوجة وتقيم  في #حي_ركن_الدين بـ #دمشق .. حيث فقدت بينما كانت ذاهبة إلى حي #المزة في الساعة عشرة صباحاً ولم ترد أي معلومة عنها.. 
📎 من يملك أي معلومة عنها التواصل على الرقم: 
0980983043
#سوريا https://t.co/5mHCzXXNdM","Tweet","جهينة نيوز","jouhinanewssy","8/1/2025, 1:26:01 PM","0","0","0","0","84","0","ar","No","Twitter for Android","#فريدة_أحمد_ناصر, #أبو_قبيس, #حي_ركن_الدين, #دمشق, #المزة, #سوريا","https://x.com/jouhinanewssy/status/1951227912373367083","photo","https://pbs.twimg.com/media/GxQncf2XEAAAWZj.jpg",""
"=""1951184915401162806""","‼️‼️الثورة السُنية في دمشق بدأت‼️‼️

🔴خرج سكان حي المزة ليلة أمس في مظاهرة غاضبة هتفت ضد الأمن العام و وصفتهم بالشبيحة.. ودعت لأسقاط النظام في سوريا الجولاني …. https://t.co/F095xvSp29","Tweet","( أبو شربل)","syrianfirst1_","8/1/2025, 10:35:09 AM","15","28","6","184","4758","14","ar","No","Twitter for iPhone","","https://x.com/syrianfirst1_/status/1951184915401162806","video","https://video.twimg.com/amplify_video/1951184687390511105/vid/avc1/288x416/FYHmNV6g_lIDGBiE.mp4?tag=21",""
"=""1951182034316972170""","وقفة احتجاجية نظمها أهالي من حي #المزة  وذلك في أعقاب ما وصفوه بـ""حملة تشويه ممنهجة"" طالت سمعة أحد أبنائها وهو المسؤول الأمني #ماهر_دحبور الذي تم نزع رتبته و إيقافه ... 

#دمشق #مراقب_سوري #سوريا https://t.co/GkiWk45m5v","Tweet","مراقب سوري Syrian Observer","Syrianobserve1","8/1/2025, 10:23:42 AM","1","0","0","0","92","0","ar","No","Twitter for Android","#المزة, #ماهر_دحبور, #دمشق, #مراقب_سوري, #سوريا","https://x.com/Syrianobserve1/status/1951182034316972170","video","https://video.twimg.com/ext_tw_video/1951181850753347584/pu/vid/avc1/720x720/_CHp480hPKUOPmAT.mp4?tag=12",""
"=""1951145033379238064""","بسبب ردح الطفولي للبعض وملاحقة الترند بدون معرفة اصل الموضوع طلعتو واحد شبيح وابوه شبيح ابطال وطنين وشوي تانية كنا لح نعلق مشانق الدورية كرمالهم. اكبر مشكلة بسوريا حالياً هم الروبيضة.
#سوريا #دمشق #المزة","Tweet","Walid🇸🇾","walid_Milan07","8/1/2025, 7:56:41 AM","0","0","0","0","63","0","ar","No","Twitter for iPhone","#سوريا, #دمشق, #المزة","https://x.com/walid_Milan07/status/1951145033379238064","","",""
"=""1951058885181317366""","هي البيان يلي نشروه عن طريق ""تنسيقية المزة""

تداولت مؤخراً بعض صفحات التواصل الاجتماعي مقطع فيديو يُظهر لحظة اعتقال المدعو ""عبد الرزاق"" من قبل دورية أمنية، وقد جرى تداوله على نحو مجتزأ يُظهر جزءًا من المشهد دون التطرق إلى ما سبقه من وقائع وسياقات هامة، ما أدى إلى تشكيل صورة مشوهة","Quoted tweet","وَ ر د 🪄","ward_337","8/1/2025, 2:14:21 AM","31","22","20","174","15625","16","ar","No","Twitter for Android","","https://x.com/ward_337/status/1951058885181317366","","",""
"=""1951098212162609394""","#دمشق #المزة #سوريا 

مظاهرات الآن في حي المزة بالعاصمة دمشق، احتجاجًا على تغلغل الشبيحة واستلامهم مناصب حساسة داخل مؤسسات الدولة!
الهتافات تطالب بإنهاء الشبيحة، وإبعاد كل من لوّث يده بدماء الأبرياء عن مواقع القرار.

الشعب يقول كلمته:
""لا للبلطجة.. لا للفساد.. لا لحكم الشبيحة!"" https://t.co/CLTlbWAhIW","Tweet","لـيـث الـبـلعوس 🇸🇾","jwdjwd1253368","8/1/2025, 4:50:38 AM","0","4","0","20","924","0","ar","No","Twitter for Android","#دمشق, #المزة, #سوريا","https://x.com/jwdjwd1253368/status/1951098212162609394","video","https://video.twimg.com/ext_tw_video/1951098150229291009/pu/vid/avc1/360x640/dzzsZ9jFJkB1HLVv.mp4?tag=12",""
"=""1951053720969683216""","بيان ما قبل مظاهرة حي المزة و تعليق حول المدعو ماهر ابن المزة في قضية اعتقال الشاب عبد الرزاق ثلجي و كان ماهر مدير الدورية المنفذ للاعتقال.
#سوريا_الجديدة https://t.co/6Td8uDhzpv","Tweet","علاء 🦅 { الشامي }","alosh_al1","8/1/2025, 1:53:50 AM","20","1","1","41","2252","1","ar","No","Twitter for Android","#سوريا_الجديدة","https://x.com/alosh_al1/status/1951053720969683216","photo","https://pbs.twimg.com/media/GxOJBQLXEAAaiEY.jpg, https://pbs.twimg.com/media/GxOJBQ8WkAABYMA.jpg",""
"=""1951047919148175518""","مظاهرات في المزة بالعاصمة دمشق و توافد عدد جيد من الشبان تنديداً بممارسات الحكومة و التعيينات.
#سوريا_الجديدة","Tweet","علاء 🦅 { الشامي }","alosh_al1","8/1/2025, 1:30:47 AM","14","1","2","39","9060","0","ar","No","Twitter for Android","#سوريا_الجديدة","https://x.com/alosh_al1/status/1951047919148175518","","",""
