"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1951393304488341658""","لك أن تتصور بأن رسم شنب على وجه إرهابي شبيح يثير الجدل بينما التمثيل بالجثث بعد الغدر لا يشكل أي فارق ؟!!
نعم هي انحطاط المعايير لا ازدواجها
#السويداء #حلب #دمشق #سوريا https://t.co/AqMDbCf8pG","Tweet","أحمد المحاميد","SYR18_3","8/2/2025, 12:23:13 AM","1","1","0","5","63","0","ar","No","Twitter for Android","#السويداء, #حلب, #دمشق, #سوريا","https://x.com/SYR18_3/status/1951393304488341658","photo","https://pbs.twimg.com/media/GxS92-XXEAAUfaw.jpg, https://pbs.twimg.com/media/GxS92-ZX0AA79PS.jpg",""
"=""1951373907245633883""","🎓✨ تهنئة وتقدير من تجمّع طلاب كفرنبودة
بكل فخر واعتزاز نُبارك لابننا المجتهد:
أحمد عبدالرزاق شاهين
خريج إدارة أعمال
عن جامعة حلب الحرة، حلب / إعزاز – سوريا
خطا بثبات نحو النجاح، وحصد ثمرة الكفاح، وها هو اليوم يُتوّج مسيرته العلمية بالوصول إلى خط التخرج، 
مبارك لك هذا الإنجاز. https://t.co/xS47eKqvbf","Tweet","تجمع طلاب كفرنبودة","kafrnabuda_2025","8/1/2025, 11:06:08 PM","0","0","0","0","28","0","ar","No","Twitter for Android","","https://x.com/kafrnabuda_2025/status/1951373907245633883","photo","https://pbs.twimg.com/media/GxSsOl2WcAERBu-.jpg",""
"=""1951367858761469960""","بعد انقطاع 14 عاماً.. أول رحلة تركية تصل مطار حلب

#سوريا 
#تركيا 
#مطار_حلب 
#نبض_الشام 

https://t.co/Xfv3cg7kME","Tweet","نبض الشام","AlshamNabad","8/1/2025, 10:42:06 PM","0","0","0","1","14","0","ar","No","Twitter Web App","#سوريا, #تركيا, #مطار_حلب, #نبض_الشام","https://x.com/AlshamNabad/status/1951367858761469960","","","https://n9.cl/1wb192"
"=""1951384716277666019""","كذاب متل هاد قرد ما شفت 🤣
لك الله يلعنك …

#سوريا #سوريا_الان #الباب_حلب #حلب #حلب_تباد #سوريا_الجديدة https://t.co/suUvQ3gXcw","Tweet","Simko","SimkoAxa","8/1/2025, 11:49:05 PM","0","0","0","0","22","0","ar","No","Twitter for iPhone","#سوريا, #سوريا_الان, #الباب_حلب, #حلب, #حلب_تباد, #سوريا_الجديدة","https://x.com/SimkoAxa/status/1951384716277666019","photo","https://pbs.twimg.com/media/GxS2DlOXoAAHl9l.jpg",""
"=""1951379918111060127""","قتل طفلان شقيقان، الجمعة، إثر انفجار لغم أرضي من مخلفات الحرب بمحيط حرش قرية المقبلة شمال شرقي #حلب.

وقال ""الدفاع المدني السوري""، إن مخلفات الحرب والألغام في #سوريا تهدد السكان وتشكل خطراً دائماً على حياة المدنيين، وتعيق عودة المهجرين  وتعافي المجتمعات. 
#الشرق_سوريا https://t.co/N69bgBT4LS","Tweet","الشرق للأخبار - سوريا","AsharqNewsSYR","8/1/2025, 11:30:02 PM","0","0","0","2","256","0","ar","No","Sprinklr Publishing","#حلب, #سوريا, #الشرق_سوريا","https://x.com/AsharqNewsSYR/status/1951379918111060127","photo","https://pbs.twimg.com/media/GxSxsY9XEAEYea-.jpg",""
"=""1951377759537864849""","@AhmedRamadan_SY حتى عام ٢٠١١ بقيت حلب قلب الصناعة والإقتصاد في سوريا حتى سوريا كانت بألف خير حتى ذلك العام ، يعني بزمن الطغيان حسب ما تدعون . ما حل بسوريا العزيزة نتيجة ما طالبتم به.
اعتذروا اقله وكفكفوا دموعكم.","Reply","the Ace 1","theAce114","8/1/2025, 11:21:27 PM","3","0","0","0","244","0","ar","No","Twitter for Android","","https://x.com/theAce114/status/1951377759537864849","","",""
"=""1951377274067902965""","@jamharaa2 السبب هوه المستعمر لي قسمهم مثلاً اهل الجزيرة الفراتية شعب واحد بس تقسم بين سوريا والعراق اهل حوران هم واحد وي الاردن والجوف بس هم تقسمو اهل حلب هم واحد وي جنوب جبال طوروس لحد ميرسين بس نفس القصة تقسيم بتقسيم","Reply","مقتدى العطواني","iq_muqtada","8/1/2025, 11:19:31 PM","0","0","0","0","41","0","ar","No","Twitter for Android","","https://x.com/iq_muqtada/status/1951377274067902965","","",""
"=""1951376042096308612""","شاب سوري اسمه عمر خيري اتخطف في حلب واتعذّب علنيًا لأنه بيغني، على إيد ميليشيا.
مشهد مهين وبيأكد انهيار مفهوم الدولة في  سوريا.
ده كان ممكن يحصل في مصر وبدأ فعلاً قبل ما الجيش والشعب يوقفوه في  2012 الشيوخ اللي بتحلل الدم
الاخوان مكنوش بيحكمو الإخوان بيفككو الدول
#شبكة_ظرط https://t.co/5jCsDRokRM","Tweet","شبكة ظرط","ZartNewseg","8/1/2025, 11:14:37 PM","1","14","0","48","904","0","ar","No","Twitter for Android","#شبكة_ظرط","https://x.com/ZartNewseg/status/1951376042096308612","photo","https://pbs.twimg.com/media/GxSuK1BWMAAnDYR.jpg",""
"=""1951388609891725338""","و ربّ سيدنا محمّد صلّ الله عليه وسلم
خابوا وخسروا وسقطوا
#سوريا #دمشق #حلب #حمص #ادلب #درعا #دير_الزور #اللاذقية #الحسكة #الرقة #عين_العرب #حماة #القنيطرة #الحكومة_السورية #السويداء #طرطوس #قسد #سوريا_الان https://t.co/IzlkGSZUIz","Tweet","Alaauddein Alnasser","htbalaa","8/2/2025, 12:04:34 AM","0","0","0","0","56","0","ar","No","Twitter for Android","#سوريا, #دمشق, #حلب, #حمص, #ادلب, #درعا, #دير_الزور, #اللاذقية, #الحسكة, #الرقة, #عين_العرب, #حماة, #القنيطرة, #الحكومة_السورية, #السويداء, #طرطوس, #قسد, #سوريا_الان","https://x.com/htbalaa/status/1951388609891725338","photo","https://pbs.twimg.com/media/GxS5mWiWoAAo-O-.jpg",""
"=""1951372853770702914""","@almohammed_hiba الخط لكل سوريا بس بيمر من حلب في محطات رئيسية بحلب","Reply","علاء 🦅 { الشامي }","alosh_al1","8/1/2025, 11:01:57 PM","1","0","0","0","45","0","ar","No","Twitter for Android","","https://x.com/alosh_al1/status/1951372853770702914","","",""
