"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1951388609891725338""","و ربّ سيدنا محمّد صلّ الله عليه وسلم
خابوا وخسروا وسقطوا
#سوريا #دمشق #حلب #حمص #ادلب #درعا #دير_الزور #اللاذقية #الحسكة #الرقة #عين_العرب #حماة #القنيطرة #الحكومة_السورية #السويداء #طرطوس #قسد #سوريا_الان https://t.co/IzlkGSZUIz","Tweet","Alaauddein Alnasser","htbalaa","8/2/2025, 12:04:34 AM","0","0","0","0","50","0","ar","No","Twitter for Android","#سوريا, #دمشق, #حلب, #حمص, #ادلب, #درعا, #دير_الزور, #اللاذقية, #الحسكة, #الرقة, #عين_العرب, #حماة, #القنيطرة, #الحكومة_السورية, #السويداء, #طرطوس, #قسد, #سوريا_الان","https://x.com/htbalaa/status/1951388609891725338","photo","https://pbs.twimg.com/media/GxS5mWiWoAAo-O-.jpg",""
"=""1951366788639498469""","فقط لعشاق سوريا 
اجواء حمص الليلية 😍😍😍 https://t.co/Dcs1GvEWWj","Tweet","نوتيلا","ShamSy772780","8/1/2025, 10:37:51 PM","4","0","0","9","93","0","ar","No","Twitter for Android","","https://x.com/ShamSy772780/status/1951366788639498469","video","https://video.twimg.com/ext_tw_video/1951366653880516608/pu/vid/avc1/360x640/MWS1Ud9S7W-b9yIQ.mp4?tag=12",""
"=""1951380340028674400""","علي الحلال إذا طلب أبو #عمشة القيادة من الشعب خروج مظاهرة تويده لخرج مئات الآلاف 👇

مظاهرات عشراوية خرجة اليوم في ثلاثة محافظات سورية دعما لحكومة الجولاني 
#دمشق #درعا #حمص وتندد بعدم تدخل الخارج في سوريا لأنا الخارج كلهم موجودين من الأساس  وما في داعي  لأي تدخل بسبب نقصان https://t.co/qGm39Ai7VM","Tweet","جوكر الثورة","Joker2977","8/1/2025, 11:31:42 PM","0","0","0","4","137","0","ar","No","Twitter for iPhone","#عمشة, #دمشق, #درعا, #حمص","https://x.com/Joker2977/status/1951380340028674400","photo","https://pbs.twimg.com/media/GxSx54jXAAAoGQU.jpg",""
"=""1951373776102330842""","أهالي مدينة حمص يوجهون رسالة الى وئام وهاب

#سوريا #دمشق #المجهر_السوري #السويداء #درعا #الجزيرة #الشرع #الأخبار #المحلية #العالمية #عاجل https://t.co/DCOWLmKslz","Tweet","المجهر السوري","ShamScope","8/1/2025, 11:05:37 PM","0","0","0","2","99","0","ar","No","Buffer","#سوريا, #دمشق, #المجهر_السوري, #السويداء, #درعا, #الجزيرة, #الشرع, #الأخبار, #المحلية, #العالمية, #عاجل","https://x.com/ShamScope/status/1951373776102330842","video","https://video.twimg.com/ext_tw_video/1951373747534925824/pu/vid/avc1/480x852/Nx2Hasfyk_JrW92y.mp4?tag=12",""
"=""1951370859660370196""","@Lenzo118 رغم حبي للشام وحلب لكن اصغر مظاهرة بحمص تغطي عليهم مجتمعين أشوف شخصيا حمص وحماة اكثر من يساعد الدولة شعبيا ودرعا ودير الزور وإدلب درع سوريا الحصين 👍🏻","Reply","سيف الشام🇸🇾","NFTOnall","8/1/2025, 10:54:02 PM","0","0","0","0","30","0","ar","No","Twitter for iPhone","","https://x.com/NFTOnall/status/1951370859660370196","","",""
"=""1951370160658657596""","لما تكون جحش ومجحش وحمار وتجيب تحليلات من مؤخرتك اخر الليل 

يقلك أمريكا اغلقت .. وامريكا تريد رئيس مسلم موحد سني وما بدها مشركين 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣

يا عفو الله اذا الدكاترة هيك مخهم كيف البقر 🤣🤣
#سوريا #أمريكا #حلب #حمص #دمشق","Tweet","AbuRami SYR","SYR_USA","8/1/2025, 10:51:15 PM","1","0","0","9","255","0","ar","No","Twitter for Android","#سوريا, #أمريكا, #حلب, #حمص, #دمشق","https://x.com/SYR_USA/status/1951370160658657596","","",""
"=""1951354319791595886""","مصير الرئيس الشرع : 
ألاحظ الكثير يذكرون بأن أيام الشرع معدودة و يؤلفون قصص و روايات و إجابتي هي : 
1_ الشرع هو ضمن مشروع دولي اسمه "" التحالف الإسلامي الغربي "" وهذا التحالف بدأ منذ تاريخ 08.12.2024 و سوف يستمر مدة 75 سنة ومهما تغيرت القيادات و الحكومات سيبقى هذا المشروع.
وسيتم","Quoted tweet","Dr.Ismaeil ALtourad","DrAltourad","8/1/2025, 9:48:18 PM","70","76","6","741","56607","84","ar","No","Twitter for iPhone","","https://x.com/DrAltourad/status/1951354319791595886","","",""
"=""1951368586221715491""","أهالي المعتقلين يعتصمون في ساحة الساعة بـ #حمص للمطالبة بمعتقليهم بسجن رومية في #لبنان
#تلفزيون_سوريا #نيو_ميديا_سوريا https://t.co/T1PdjWBo2o","Tweet","تلفزيون سوريا","syr_television","8/1/2025, 10:45:00 PM","0","0","0","13","2245","0","ar","No","Twitter Media Studio","#حمص, #لبنان, #تلفزيون_سوريا, #نيو_ميديا_سوريا","https://x.com/syr_television/status/1951368586221715491","video","https://video.twimg.com/amplify_video/1951354364561428480/vid/avc1/1080x1350/AUpAyBtPT2yk0W8f.mp4?tag=21",""
"=""1951384008962834725""","طيب ليش كنت تزعل من جماعة بشار بس كانوا يحكوا نفس كلامك بالحرف وكنت  تعتبرهم ابواق ومطبلجية وحمير  .؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟

#سوريا #دمشق #السويداء #حمص","Tweet","AbuRami SYR","SYR_USA","8/1/2025, 11:46:17 PM","0","1","0","6","147","0","ar","No","Twitter Web App","#سوريا, #دمشق, #السويداء, #حمص","https://x.com/SYR_USA/status/1951384008962834725","","",""
"=""1951213235358584909""","انا لا ادافع عن الرئيس الشرع ولا عن  الحكومة .. انما انا ادافع عن دولتي المتمثلة بمن يقودها حاليا ..","Quoted tweet","منصور عبدالله","aboalamirb","8/1/2025, 12:27:41 PM","38","11","2","393","8453","6","ar","No","Twitter for Android","","https://x.com/aboalamirb/status/1951213235358584909","","",""
"=""1951364758625476889""","لا يستطيع ... يعني تصور يجي وزراء حقيقيين وليس شكليين .. ويختلف قرار الوزير مع قرار الامير والشيخ .. كلام مين رح يمشي .؟؟ رح يمشي كلام الشيخ لانه الشيخ عند الشرع اهم من الوزير .. جنوده وعناصره الايديولوجيين اهم من كل قصص الوطن والوطنية وهالكلام الفاضي 
#سوريا #دمشق #درعا #حمص","Tweet","AbuRami SYR","SYR_USA","8/1/2025, 10:29:47 PM","0","0","0","4","182","0","ar","No","Twitter Web App","#سوريا, #دمشق, #درعا, #حمص","https://x.com/SYR_USA/status/1951364758625476889","","",""
"=""1951360673935741067""","سيادة الرئيس أحمد الشرع الموقر: 
أعرف أنك تعرف أن البلد ليست بخير، وأن إدارتها بهذه الطريقة ليست الأفضل..
أرجوك بادر بقرارات وطنية شجاعة وحاسمة تنقذ البلد، وسيادتكم أدرى بما يجب أن يكون.
كدنا نصل نقطة القطيعة بين مكونات البلد، وإن قطعناها فلا رجعة ولا بلد.","Quoted tweet","ياسر الأطرش","yaser_atrash","8/1/2025, 10:13:33 PM","6","16","10","267","11581","7","ar","No","Twitter for Android","","https://x.com/yaser_atrash/status/1951360673935741067","","",""
"=""1951361405468504459""","لاحظت أن معظم مناطق سوريا تقاربهم الثقافي متنوع ومشترك خارج الحدود لا داخل سوريا فقط

- أهل الجزيرة السورية يتقاربون ثقافيا مع غرب العراق
- أهل البادية السورية وتدمر يتقاربون مع شمال جزيرة العرب والجزيرة الفراتية
- أهل حمص والقلمون يتقاربون مع لبنان
- أهل الجولان يتقاربون مع","Tweet","أسيد","jamharaa2","8/1/2025, 10:16:28 PM","5","0","1","17","699","4","ar","No","Twitter Web App","","https://x.com/jamharaa2/status/1951361405468504459","","",""
"=""1951361036852056278""","نقل تلفزيون الشرق عن مصدر عسكري تركي أن اتفاقية دفاع مشترك بين سوريا وتركيا قيد الإعداد حالياً، ينتظر توقيعها خلال الأسابيع القليلة المقبلة.
وأوضح المصدر أن الاتفاقية ستتضمن إنشاء ثلاث قواعد عسكرية تركية، الأولى في مدينة تدمر، والثانية في مطار ""تيفور"" العسكري، بمحافظة حمص https://t.co/Nr95MNNz3g","Tweet","Ahmad_27","AhmadSY0309","8/1/2025, 10:15:00 PM","0","1","0","5","292","1","ar","No","Twitter Web Client","","https://x.com/AhmadSY0309/status/1951361036852056278","photo","https://pbs.twimg.com/media/GxSeAH8aIAImiBU.jpg",""
"=""1951356095869624396""","ماذا يحصل في #سوريا حقيقة؟؟
هل هذه سوريا التي سعى إليها ""ثوار سوريا"" 
هل هذه الثورة التي غنى لها عبد الباسط الساروت، يا شام أنتِ شامنا .. لجل عيونك يا حمص..
 أين ثوار سوريا .. الذين نادوا ""حرية للأبد غصب عنك يا أسد""؟؟
ماذا يحصل في ثورة الياسمين؟؟","Tweet","Sawsan Mhanna| سوسن مهنّا","SawsanaMehanna","8/1/2025, 9:55:22 PM","9","2","0","6","2946","0","ar","No","Twitter for iPhone","#سوريا","https://x.com/SawsanaMehanna/status/1951356095869624396","","",""
