"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1951389841993994329""","أين أهالي دمشق ؟ أين أهل الشام ؟ 

#سوريا #دمشق #القرباط #الزطيّة https://t.co/KOYHSSck5t","Tweet","ثرثار","19oldboy84","8/2/2025, 12:09:28 AM","0","0","0","0","6","0","ar","No","Twitter for iPhone","#سوريا, #دمشق, #القرباط, #الزطيّة","https://x.com/19oldboy84/status/1951389841993994329","photo","https://pbs.twimg.com/media/GxS6t48WUAAJ2IY.jpg, https://pbs.twimg.com/media/GxS6t4-WAAAkjya.jpg",""
"=""1951388733078712382""","منطقة وادي بردى في ريف #دمشق تستعيد نشاطها السياحي مع عودة الزوّار وانتعاش الحركة في منشآتها والخدمية والترفيهية.
#سوريا https://t.co/a5JTpP4Fcr","Tweet","التلفزيون العربي - سوريا","AlarabyTvSY","8/2/2025, 12:05:03 AM","0","0","0","0","26","0","ar","No","Twitter Web App","#دمشق, #سوريا","https://x.com/AlarabyTvSY/status/1951388733078712382","video","https://video.twimg.com/amplify_video/1951388555848056832/vid/avc1/1080x1350/TzAL5Y8j4JACAm4x.mp4?tag=21",""
"=""1951386675797737864""","النخلة و السيفان و العقاب

عصر قوّة ذهبي ل #المملكة_العربية_السعودية و ل #سوريا ان شاء الله
#دمشق #الرياض https://t.co/c0no11sx9C","Tweet","Alaauddein Alnasser","htbalaa","8/1/2025, 11:56:53 PM","0","0","0","0","14","0","ar","No","Twitter for Android","#المملكة_العربية_السعودية, #سوريا, #دمشق, #الرياض","https://x.com/htbalaa/status/1951386675797737864","photo","https://pbs.twimg.com/media/GxS31q0X0AAUVnJ.jpg, https://pbs.twimg.com/media/GxS31vqXUAAmXmM.jpg",""
"=""1951389685886206290""","وزارة العدل السورية:

إعلان عن لجنة تحقيق رسمية في أحداث السويداء من قِبل وزارة العدل في دمشق

———
#السويداء #سوريا #دمشق #وزارة_العدل #لجنة_تحقيق #أحداث_السويداء https://t.co/LL0ZWdKQiM","Tweet","تحت الطاولة","RakanThe100","8/2/2025, 12:08:50 AM","0","0","0","0","5","0","ar","No","Twitter for iPhone","#السويداء, #سوريا, #دمشق, #وزارة_العدل, #لجنة_تحقيق, #أحداث_السويداء","https://x.com/RakanThe100/status/1951389685886206290","photo","https://pbs.twimg.com/media/GxS6kb_WwAA8StF.jpg",""
"=""1951388609891725338""","و ربّ سيدنا محمّد صلّ الله عليه وسلم
خابوا وخسروا وسقطوا
#سوريا #دمشق #حلب #حمص #ادلب #درعا #دير_الزور #اللاذقية #الحسكة #الرقة #عين_العرب #حماة #القنيطرة #الحكومة_السورية #السويداء #طرطوس #قسد #سوريا_الان https://t.co/IzlkGSZUIz","Tweet","Alaauddein Alnasser","htbalaa","8/2/2025, 12:04:34 AM","0","0","0","0","22","0","ar","No","Twitter for Android","#سوريا, #دمشق, #حلب, #حمص, #ادلب, #درعا, #دير_الزور, #اللاذقية, #الحسكة, #الرقة, #عين_العرب, #حماة, #القنيطرة, #الحكومة_السورية, #السويداء, #طرطوس, #قسد, #سوريا_الان","https://x.com/htbalaa/status/1951388609891725338","photo","https://pbs.twimg.com/media/GxS5mWiWoAAo-O-.jpg",""
"=""1951388306324783171""","Day 18 ,, 

#منتزه_ألاء 
#طريق_المطار
#التل 
#دمشق 
#سوريا 
#Syria 
#Damascus https://t.co/KaIE6BIHgi","Tweet","Pinky","hjzsra","8/2/2025, 12:03:21 AM","0","0","0","1","16","0","und","No","Twitter for iPhone","#منتزه_ألاء, #طريق_المطار, #التل, #دمشق, #سوريا, #Syria, #Damascus","https://x.com/hjzsra/status/1951388306324783171","video","https://video.twimg.com/amplify_video/1951388059603206144/vid/avc1/720x1280/9hjs6yWzjJwIaEyc.mp4?tag=21",""
"=""1951388211974119801""","@MSwerani @muslumanso صديقي. مابدنا الشعب يحب بعضو  بدنا يخفف الشعب نفاق يعني ناس قاعده برا سوريا وعم اتطبل للسلطة في دمشق قلوه روح عيش معون بيقلك ما فيي هههههه وحلها إذا بتحلها ١","Reply","احمد","md1267957849196","8/2/2025, 12:02:59 AM","0","0","0","1","8","0","ar","No","Twitter Web App","","https://x.com/md1267957849196/status/1951388211974119801","","",""
"=""1951388137604653201""","عفوا منك سيد توماس برّاك ..!! لبنان ليس منتجعا لسوريا او الواجهة البحرية لدمشق ورأيكم لا ينسجم مع عمق الفكر الإدارة الاميركية وليس واردا اطلاقاً جعل لبنان جزءا من سوريا او ولاية دمشق . تتكلمون بلهجة وعقلية رجل أعمال ولا اكثر.. فلبنان الارز ليس معروضا للبيع او الشراء .. ويمكنكم ان https://t.co/fWOvjyCpth","Tweet","Dr. Elias Y. Maroun","eliasymaroun","8/2/2025, 12:02:41 AM","0","0","0","1","12","0","ar","No","Twitter for iPhone","","https://x.com/eliasymaroun/status/1951388137604653201","photo","https://pbs.twimg.com/media/GxS5K1dXoAAIGoZ.jpg",""
"=""1951387901654343917""","@SyPresidency ان كانت سوريا بمنظوركم هيّا دمشق قومو بفصلها عن سوريا وعيشو لوحدكم بها ودعو باقي المحافظات يعيشون ويبنون انفسهم بأنفسهم لاينتظرون إحسانكم من فتات الاهتمام ، أنا اعلم ان الضغط كبير عليكم ولكن كما يقول المثل خد وعين 
مدينتي الرقة محتلة من خنازير قسد ومع ذلك  وظعت لكم الف عذر 
⬇️","Reply","ابو فهد العنزي","abo_fahad1985","8/2/2025, 12:01:45 AM","1","0","0","0","7","0","ar","No","Twitter for iPhone","","https://x.com/abo_fahad1985/status/1951387901654343917","","",""
"=""1951387340250947832""","من #ساحة_الأمويين في #دمشق
لافتة ل #إسرائيل .. ""تباً لكِ بالإنكليزي""

#سوريا_الجديدة https://t.co/j5cRimxFib","Tweet","فخر الأيوبي","FakhrAlAyoubi","8/1/2025, 11:59:31 PM","0","0","0","0","29","0","ar","No","Twitter for iPhone","#ساحة_الأمويين, #دمشق, #إسرائيل, #سوريا_الجديدة","https://x.com/FakhrAlAyoubi/status/1951387340250947832","photo","https://pbs.twimg.com/media/GxS4cILXEAApx-x.jpg",""
