"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1951596740064260469""","رئيس غرفة تجارة #دمشق عصام غريواتي :
#سوريا اليوم تمر بمرحلة اقتصادية حاسمة تتطلب ضرورة جذب رؤوس الأموال والاستثمارات الخارجية وتهيئة المناخ المناسب لعودة رجال الأعمال السوريين إلى وطنهم

#شام_إف_إم #للخبر_مصدر","Tweet","Sham fm شام إف إم","radioshamfm","8/2/2025, 1:51:36 PM","0","0","0","0","12","0","ar","No","Twitter Web App","#دمشق, #سوريا, #شام_إف_إم, #للخبر_مصدر","https://x.com/radioshamfm/status/1951596740064260469","","",""
"=""1951592449144754681""","مكتب شؤون الشباب، يدعوكم لحضور ندوة بعنوان ""كيف أُنمي التفكير الإبداعي لدي!"" يقدمها السيدان علي حلاق مدير شؤون الشباب، و وسيم قدورة خبير علامات تجارية.

- مكان الندوة: دمشق - مدرج الجامعة
- التاريخ: يوم الأحد الموافق لـ2025/8/3

للتسجيل
https://t.co/3tLY9iEAmZ

#شؤون_الشباب_سوريا https://t.co/Jwe4xDIlHF","Tweet","شؤون الشباب - سوريا","youthafairs","8/2/2025, 1:34:33 PM","0","0","0","0","8","0","ar","No","Twitter for Android","#شؤون_الشباب_سوريا","https://x.com/youthafairs/status/1951592449144754681","photo","https://pbs.twimg.com/media/GxVy_WvW0AA9zzP.jpg","https://ee-eu.kobotoolbox.org/x/1SQoiduq"
"=""1951589089033252970""","وزارة النقل:

- بدء تطبيق نظام الإفراغ #الإلكتروني لنقل ملكية السيارات

- إلغاء سند #التمليك الورقي فالتسجيل الإلكتروني لدى المديرية هو الوثيقة الرسمية المعتمدة

- التطبيق بدأ في #دمشق وسيتوسع لباقي المحافظات خلال الأيام القادمة

#وزارة_النقل #مراقب_سوري #سوريا https://t.co/Lf3xUn4R5I","Tweet","مراقب سوري Syrian Observer","Syrianobserve1","8/2/2025, 1:21:12 PM","0","0","0","0","18","0","ar","No","Twitter for Android","#الإلكتروني, #التمليك, #دمشق, #وزارة_النقل, #مراقب_سوري, #سوريا","https://x.com/Syrianobserve1/status/1951589089033252970","photo","https://pbs.twimg.com/media/GxVv7waW8AA0SqJ.jpg",""
"=""1951593250969567563""","قافلة مساعدات شمال شرق سوريا تتجه إلى اهالي #السويداء عبر #دمشق 

#سوريا https://t.co/wMnBY36yVc","Tweet","torevar","torevar7","8/2/2025, 1:37:44 PM","0","0","0","1","14","0","ar","No","Twitter for Android","#السويداء, #دمشق, #سوريا","https://x.com/torevar7/status/1951593250969567563","video","https://video.twimg.com/ext_tw_video/1951593229423419392/pu/vid/avc1/640x360/JNPp6wLHic1akR5-.mp4?tag=12",""
"=""1951593622001905945""","@Roaastudies هذا مايهم تركيا فقط شمال سوريا .أما من جنوب سوريا إلى دمشق هو خارج حسابات تركيا وهذا ماتم الإتفاق عليه مع الكيان الصهيوني في الغرف المغلقة","Reply","عزيز","Hijazi_ndal","8/2/2025, 1:39:12 PM","0","0","0","1","56","0","ar","No","Twitter for Android","","https://x.com/Hijazi_ndal/status/1951593622001905945","","",""
"=""1951591125111771467""","جانب من إعادة تأهيل الطرق في حي باب توما بدمشق القديمة.

#صوت_العاصمة #سوريا #دمشق #دمشق_القديمة #باب_توما https://t.co/01WcDyyf1v","Tweet","صوت العاصمة","damascusv011","8/2/2025, 1:29:17 PM","0","0","0","1","97","0","ar","No","Twitter Web App","#صوت_العاصمة, #سوريا, #دمشق, #دمشق_القديمة, #باب_توما","https://x.com/damascusv011/status/1951591125111771467","photo","https://pbs.twimg.com/media/GxVxwKPW8AAKd43.jpg, https://pbs.twimg.com/media/GxVxwKKXwAA2-Oa.jpg, https://pbs.twimg.com/media/GxVxwKMW8AA2Qof.jpg, https://pbs.twimg.com/media/GxVxwKLWIAAV8q0.jpg",""
"=""1951586671943885066""","#كتب_نادرة 
#القهوة
#الشاي
#طب
#يرفع_لأول مرة على ارشيف
كتاب: القهوة و الشاي فوائدها و أضرارها
تأليف: د. حسان شمسي باشا 
نبذة: كتاب موجز لطيف عن فوائد وأضرار الشاي والقهوة والمنبهات الأخر..
ط1: 1419 هـ-1999 م
الناشر: بيروت - لبنان / دمشق - سوريا
134  صفحة (ولا تنسونا من صالح https://t.co/helzJq5w22","Tweet","Sarmed- المهندس سرمد حاتم شكر السامرائي","sarmed74","8/2/2025, 1:11:35 PM","10","1","0","6","570","2","ar","No","Twitter Web App","#كتب_نادرة, #القهوة, #الشاي, #طب, #يرفع_لأول","https://x.com/sarmed74/status/1951586671943885066","photo","https://pbs.twimg.com/media/GxVaeibWAAAyM6c.jpg",""
"=""1951593350240350299""","الأقليات مازالوا يترأسون المؤسسات والجامعات ومع ذلك يتحدثون عن انتهاكات وحصار وقتل وإغلاق الأفواه !!!
أذا كان ذلك صحيحاً لماذا مازلتم على رأس عملكم ؟؟
#سوريا #سوريا_الان #دمشق","Tweet","إبن درعا","mazenalali55","8/2/2025, 1:38:08 PM","0","0","0","1","12","0","ar","No","Twitter for Android","#سوريا, #سوريا_الان, #دمشق","https://x.com/mazenalali55/status/1951593350240350299","","",""
"=""1951588973618372744""","#السعودية🇸🇦💚💚🇸🇾 #سوريا
اشقاء الدين والدم💚

ملاحظة: الفيديو من مطار دمشق الدولي https://t.co/qYMwX3RbUg","Tweet","معن🇵🇸","maan99sh","8/2/2025, 1:20:44 PM","0","0","0","0","11","0","ar","No","Twitter for Android","#السعودية, #سوريا","https://x.com/maan99sh/status/1951588973618372744","video","https://video.twimg.com/ext_tw_video/1951588597213036544/pu/vid/avc1/576x1024/6Isbk6aPjp4WJ9me.mp4?tag=12",""
"=""1951585699158728776""","عاجل
#مساعدات مرسلة من شمال شرقي سوريا لـ #السويداء تصل دمشق
نورث_برس https://t.co/bPdcrZ4soA","Tweet","الإعلامي هاوار هبو","hawarhebo99","8/2/2025, 1:07:44 PM","22","4","2","74","4365","1","ar","No","Twitter for iPhone","#مساعدات, #السويداء","https://x.com/hawarhebo99/status/1951585699158728776","photo","https://pbs.twimg.com/media/GxVs1-DW8AAhprR.jpg",""
