"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1951384815351242926""","@syr_television اتركونا من عمر خيري ...
ابحثوا عن المفقودين في سوريا.  
ابحثوا عن  الجرحى وأهالي الشهداء وأبنائهم ...
هنالك الالاف لا زالوا مفقودين وهنالك الآلاف من الأيتام يحتاجون المساعدة...
مو كل واحد بدنا نعملوه عرس ومظلومية في وزراة عدل وداخليه يروح اهله يشتكو ع المسلحين اي نعم؛؛!؟","Reply","ZORO","Majed783849","8/1/2025, 11:49:29 PM","0","0","0","0","14","0","ar","No","Twitter for Android","","https://x.com/Majed783849/status/1951384815351242926","","",""
"=""1951339812792967662""","عاجل | الداخلية السورية تعلق على فيديو إذلال المطرب #عمر_خيري

التفاصيل: https://t.co/WB5wsByJjp

#إرم_نيوز #سوريا https://t.co/0RmPddNeHW","Tweet","Erem News - إرم نيوز","EremNews","8/1/2025, 8:50:40 PM","0","0","0","0","1315","0","ar","No","Twitter Web App","#عمر_خيري, #إرم_نيوز, #سوريا","https://x.com/EremNews/status/1951339812792967662","animated_gif","https://video.twimg.com/tweet_video/GxSNMpoWwAAtixy.mp4","https://erem.news/NNmnLf"
"=""1951380419179585814""","هكذا تعامل الامن السوري مع مطرب شعبي ذنبه انه كان يغني واندمج فورد اسم الجولاني في الاغنية فكانت هذه الاهانات للمطرب عمر خيري  التي مست بانسانيته واظهرت الوجه الحقيقي لهم ، فهل هكذا ستبنى سوريا؟ بالتأكيد لا #ماريا_معلوف https://t.co/Za3vqRCqna","Tweet","Maria Maalouf","bilarakib","8/1/2025, 11:32:01 PM","2","0","1","2","813","0","ar","No","Twitter for iPhone","#ماريا_معلوف","https://x.com/bilarakib/status/1951380419179585814","video","https://video.twimg.com/amplify_video/1951380299947864064/vid/avc1/356x640/myu1KqmfnKjV3I7E.mp4?tag=21",""
"=""1951379469056499921""","جهاز المخابرات العامة الجهنمي لنظام #سوريا السابق وعصابات #أحمد_الشرع يخطفون المغني السوري الشهير عمر خيري وأهانته علنا أثناء إحيائه حفل زفاف في مدينة الباب في #سورية

#شاهد https://t.co/PUJfqv3UdB","Tweet","محمد المذحجي","MadhajiMN","8/1/2025, 11:28:14 PM","0","0","0","2","280","0","ar","No","Twitter for Android","#سوريا, #أحمد_الشرع, #سورية, #شاهد","https://x.com/MadhajiMN/status/1951379469056499921","video","https://video.twimg.com/ext_tw_video/1951379448634150913/pu/vid/avc1/528x848/X8kEeCtwTxZUX0Ct.mp4?tag=12",""
"=""1951376042096308612""","شاب سوري اسمه عمر خيري اتخطف في حلب واتعذّب علنيًا لأنه بيغني، على إيد ميليشيا.
مشهد مهين وبيأكد انهيار مفهوم الدولة في  سوريا.
ده كان ممكن يحصل في مصر وبدأ فعلاً قبل ما الجيش والشعب يوقفوه في  2012 الشيوخ اللي بتحلل الدم
الاخوان مكنوش بيحكمو الإخوان بيفككو الدول
#شبكة_ظرط https://t.co/5jCsDRokRM","Tweet","شبكة ظرط","ZartNewseg","8/1/2025, 11:14:37 PM","0","10","0","31","438","0","ar","No","Twitter for Android","#شبكة_ظرط","https://x.com/ZartNewseg/status/1951376042096308612","photo","https://pbs.twimg.com/media/GxSuK1BWMAAnDYR.jpg",""
"=""1951359913185231162""","🔸نفت وزارة الداخلية السورية، مسؤولية الأمن الداخلي عما تعرض له المطرب الحلبي #عمر_خيري من إذلال في مدينة الباب بريف #حلب.

🔸وتداول عدد من النشطاء مقاطع فيديو تظهر المطرب عمر خيري وهو يتعرض للامتهان من قبل عدد من الأشخاص زعم المدونون أنهم من الأمن العام السوري.

#إرم_نيوز #سوريا https://t.co/VnZjYo839W","Tweet","Erem News - إرم نيوز","EremNews","8/1/2025, 10:10:32 PM","1","0","0","1","977","0","ar","No","Twitter Web App","#عمر_خيري, #حلب, #إرم_نيوز, #سوريا","https://x.com/EremNews/status/1951359913185231162","photo","https://pbs.twimg.com/media/GxSXwDSXQAAdOuR.jpg",""
"=""1951358810972729655""","الفنان السوري عمر خيري …. أيام الأسد ولكن ‼️

هذا لا يُبيح أن يؤخذ الحق من قِبَل أشخاص مدنيين
الجهة الوحيدة المعنية بهذا الأمر هي الحكومة السورية

هذه التصرفات العشوائية تنعكس سلباً ع بلدك …

#سوريا 
#سوريا_الان 
#سوريا_الجديدة https://t.co/WjI1lxm9rs","Tweet","La Liberté","Liberte_IX","8/1/2025, 10:06:09 PM","0","2","0","7","487","1","ar","No","Twitter for iPhone","#سوريا, #سوريا_الان, #سوريا_الجديدة","https://x.com/Liberte_IX/status/1951358810972729655","photo","https://pbs.twimg.com/media/GxSefq0WwAEms1t.jpg",""
"=""1951357227639644459""","الاعتداء 
على المطرب الشعبي 
عمر خيري 
من قبل رجال الأمن 
#سوريا_الجديدة 
🤣😂🤣😂 https://t.co/kEFLa3lDf4","Tweet","عمرالكردي_أبوخالد_99","Omar_king_99","8/1/2025, 9:59:52 PM","0","1","0","2","116","0","ar","No","Twitter for iPhone","#سوريا_الجديدة","https://x.com/Omar_king_99/status/1951357227639644459","video","https://video.twimg.com/amplify_video/1951357140255268864/vid/avc1/576x1024/xw4j22ccNlYmRScE.mp4?tag=21",""
"=""1951351882808480224""","اعتداء على مغنٍ شعبي سوري.. حادثة أخرى تضاف إلى الانتهاكات الموثقة
اسم الفنان عمر خيري يتصدّر مواقع التواصل ا بعد نشر فيديو يُظهر الاعتداء عليه وضربه وحلق شعره وشاربه من قبل مجموعة مسلحة.
#عمر_خيري #سوريا_الجديدة #العرب_اللندنية
https://t.co/mhXZsoBhV2","Tweet","العرب","alarabonline","8/1/2025, 9:38:37 PM","0","0","0","0","254","0","ar","No","Publer.com","#عمر_خيري, #سوريا_الجديدة, #العرب_اللندنية","https://x.com/alarabonline/status/1951351882808480224","","","https://alarab.co.uk/%D8%A7%D8%B9%D8%AA%D8%AF%D8%A7%D8%A1-%D8%B9%D9%84%D9%89-%D9%85%D8%BA%D9%86%D9%8D-%D8%B4%D8%B9%D8%A8%D9%8A-%D8%B3%D9%88%D8%B1%D9%8A-%D8%AD%D8%A7%D8%AF%D8%AB%D8%A9-%D8%A3%D8%AE%D8%B1%D9%89-%D8%AA%D8%B6%D8%A7%D9%81-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D9%87%D8%A7%D9%83%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D9%88%D8%AB%D9%82%D8%A9"
"=""1951346958074847622""","@RKbyRasha معناها لازم كمان نجيب المطربة اصالة نصري لأنها غنت لحافظ الأسد ونعاملها متل المطرب عمر خيري ونشلحها تيابها ونعلقها بنص الشام ونكتب على صدرها طز . هيك بتتحقق العدالة
عنجد عظّم الله أجرنا يا سوريا","Reply","ابو تيسير","abutaysyr99","8/1/2025, 9:19:03 PM","0","0","0","1","92","0","ar","No","Twitter for Android","","https://x.com/abutaysyr99/status/1951346958074847622","","",""
"=""1951345237751955475""","يا حمار يا مدعي المسيحية هيدا المقطع من مدينة البترون بلبنان والصبايا من صيدا ونعمل معهن مقابلة !
شكرا لنشر الفيديو حتى يبين الفرق بين لبنان الرقي والحضارة والفن والانفتاح وبين سوريا الجولاني خاصة بعد فيديو ضرب وخطف وإهانة اليوم الفنان  عمر خيري خلي البشرية كلها تعرف الفرق !","Tweet","John the third","Johnthethi75596","8/1/2025, 9:12:13 PM","0","0","0","2","111","0","ar","No","Twitter for Android","","https://x.com/Johnthethi75596/status/1951345237751955475","","",""
"=""1951334420138397965""","بما انو الدولة لاحقة العالم بالسكين
ليش هالصبايا الحلوات عايشين حريتهم
ولا الصبايا آخدين مصاري من الدولة ل يطلعوا هيك امام الجمهور ،
احترنا معكم يا كارهين .","Quoted tweet","DR.MILAD✝️","theangelqa","8/1/2025, 8:29:14 PM","51","36","3","448","27543","34","ar","No","Twitter for Android","","https://x.com/theangelqa/status/1951334420138397965","","",""
"=""1951344758254977368""","@theangelqa يا حمار يا مدعي المسيحية هيدا المقطع من مدينة البترون بلبنان والصبايا من صيدا ونعمل معهن مقابلة !
شكرا لنشر الفيديو حتى يبين الفرق بين لبنان الرقي والحضارة والفن والانفتاح وبين سوريا الجولاني خاصة بعد فيديو ضرب وخطف وإهانة اليوم الفنان  عمر خيري خلي البشرية كلها تعرف الفرق !","Reply","John the third","Johnthethi75596","8/1/2025, 9:10:19 PM","0","0","0","10","244","0","ar","No","Twitter for Android","","https://x.com/Johnthethi75596/status/1951344758254977368","","",""
