timestamp,domain,platform,source,content,raw_content,sentiment_score,sentiment_label
,Politics,telegram,freesyria102,صورة من داخل منزل في القصير بعد دخول دورية للتفتيش فيه,"⚠️
✅ || صورة من داخل منزل في القصير بعد دخول دورية للتفتيش فيه !!",0.21664321422576904,negative
,Politics,telegram,freesyria102,علامات استفهام مستمرة على الوزيرة هند قبوات,"⚠️
✅ || علامات استفهام مستمرة على الوزيرة هند قبوات ..",0.4484085440635681,negative
,Politics,telegram,freesyria102,قوات سوريا الديمقراطية تمنع بدء أعمال صيانة جسري البوكمال الباغوز والعشارة درنج بعد وصول المعدات اللوجستية اللازمة لذلك من دون أي توضيح أو بيان رسمي,"✅
⚠️ || قوات سوريا الديمقراطية تمنع بدء أعمال صيانة جسري ""البوكمال/ الباغوز – والعشارة/ درنج"" ، بعد وصول المعدات اللوجستية اللازمة لذلك من دون أي توضيح أو بيان رسمي ..",0.289148211479187,negative
,Politics,telegram,freesyria102,فلول النظام تهاجم مطار حميميم,🟥فلول النظام تهاجم مطار حميميم,0.6358522772789001,positive
,Politics,telegram,freesyria102,أ ف ب الاتحاد الأوروبي يوافق على رفع كل العقوبات عن سوريا,🟥 | أ ف ب : الاتحاد الأوروبي يوافق على رفع كل العقوبات عن سوريا ..,0.4057815670967102,negative
,Politics,telegram,freesyria102,قامت القوات الروسية في قاعدة حميميم بتسليم أحد ضباط النظام البائد المدعو أبو حبيب إلى قوات الأمن العام,"⚠️
✅ || قامت القوات الروسية في قاعدة حميميم بتسليم أحد ضباط النظام البائد المدعو ""أبو حبيب ""إلى قوات الأمن العام ...",0.4897747039794922,negative
,Politics,telegram,freesyria102,حملة امنية بالبوكمال بريف دير الزور لجمع السلاح الخارج عن سلطة القانون,"⚠️
✅ || حملة امنية بالبوكمال بريف دير الزور لجمع السلاح الخارج عن سلطة القانون ..",0.4483479857444763,negative
,Politics,telegram,freesyria102,مقتل المجرم في النظام البائد حسن علي داوودأبو علي سياسية على يد مسلحين مجهولين على طريق غباغب موثبين بريف درعا الشمالي ينحدر المجرم من مدينة بانياس كان المجرم قد شغل إدارة عدة حواجز بريف درعا الشمالي تابعة لفرع الأمن السياسي سابقا,"⚠️ مقتل المجرم في النظام البائد ""حسن علي داوود""(أبو علي سياسية) ، على يد مسلحين مجهولين على طريق ""غباغب - موثبين"" بريف درعا الشمالي ..


⚠️ ينحدر المجرم من مدينة بانياس ، كان المجرم قد شغل إدارة عدة حواجز بريف درعا الشمالي تابعة لفرع الأمن السياسي سابقاً ..",0.3218267560005188,negative
,Politics,telegram,freesyria102,الخارجية الأردنية وزير الخارجية أيمن الصفدي يزور دمشق اليوم وزير الخارجية سيرأس وفدا وزاريا يضم وزراء المياه والري والصناعة والتجارة والتموين والطاقة والثروة المعدنية ووزيرة النقل الوفد سيعقد مباحثات موسعة مع نظرائهم السوريين,"🟥| الخارجية الأردنية :


✅ وزير الخارجية أيمن الصفدي يزور #دمشق اليوم


✅ وزير الخارجية سيرأس وفدا وزاريا يضم وزراء المياه والري والصناعة والتجارة والتموين والطاقة والثروة المعدنية ووزيرة النقل


✅ الوفد سيعقد مباحثات موسّعة مع نظرائهم السوريين",0.21417933702468872,negative
,Politics,telegram,freesyria102,البوكمال اشتباكات بين إدارة الأمن العام وأكبر المهربين في المنطقة المدعو حسين العلي وأبناءه بعد رفضهم تسليم أنفسهم,"✅ البوكمال || اشتباكات بين إدارة الأمن العام وأكبر المهربين في المنطقة المدعو ""حسين العلي"" وأبناءه بعد رفضهم تسليم أنفسهم ..",0.4477541446685791,negative
,Politics,telegram,freesyria102,عاجل وسائل إعلام ألمانية الاتحاد الأوروبي يعلن رفع العقوبات عن سوريا,#عاجل | وسائل إعلام ألمانية: الاتحاد الأوروبي يعلن رفع العقوبات عن #سوريا,0.41624903678894043,negative
,Politics,telegram,Almohrar,عاجــــــــــــــــل وفاة 6 أشخاص بينهم 4 كانوا على متن حافلة لنقل الركاب واثنان في الشاحنة محملة بالاغنام جراء حادث سير أليم على طريق دير_الزور تدمر ونفوق 20 رأس غنم لمتابعة الأخبار العاجلة ادخل واشترك httpstmealmohrar,"#عاجــــــــــــــــل

وفاة 6 أشخاص بينهم 4 كانوا على متن حافلة لنقل الركاب واثنان في الشاحنة محملة بالاغنام جراء حادث سير أليم على طريق #دير_الزور #تدمر ونفوق 20 رأس غنم

لمتابعة الأخبار العاجلة ادخل واشترك 👇👇
https://t.me/Almohrar",0.23848682641983032,negative
,Politics,telegram,Almohrar,عاجــــــــــــــــل وفاة شاب صعقا بالتيار الكهربائي شمال منطقة معرشحور مزرعة دهام الدرويش شمال شرق مدينة حماة لمتابعة الأخبار العاجلة ادخل واشترك httpstmealmohrar,"#عاجــــــــــــــــل

وفاة شاب صعقاً بالتيار الكهربائي شمال منطقة #معرشحور مزرعة دهام الدرويش شمال شرق مدينة #حماة

لمتابعة الأخبار العاجلة ادخل واشترك 👇👇
https://t.me/Almohrar",0.29046255350112915,negative
,Politics,telegram,Almohrar,عاجــــــــــــــــل وزير الخارجية التركي هاكان فيدان الجانب السوري يدرك تماما مكانة ودور تركيا بالنسبة له مقاربة تركيا في سوريا تقوم على مبدأ أن يتم اتخاذ القرارات الأساسية المتعلقة بسوريا من قبل السوريين أنفسهم ننخرط في مشاورات معينة مع إخواننا في الإدارة السورية الجديدة لمتابعة الأخبار العاجلة ادخل واشترك httpstmealmohrar,"#عاجــــــــــــــــل

وزير الخارجية التركي هاكان فيدان : الجانب #السوري يدرك تماماً مكانة ودور #تركيا بالنسبة له

📌مقاربة #تركيا في #سوريا تقوم على مبدأ أن يتم اتخاذ القرارات الأساسية المتعلقة بسوريا من قبل السوريين أنفسهم

📌ننخرط في مشاورات معينة مع إخواننا في الإدارة #السورية الجديدة

لمتابعة الأخبار العاجلة ادخل واشترك 👇👇
https://t.me/Almohrar",0.3014904260635376,negative
,Politics,telegram,Almohrar,عاجــــــــــل حادث سير أليم على طريق السجن غرب مدينة إدلب لمتابعة الأخبار العاجلة ادخل واشترك httpstmealmohrar,"#عاجــــــــــل

حادث سير أليم على طريق السجن غرب مدينة #إدلب

لمتابعة الأخبار العاجلة ادخل واشترك 👇👇
https://t.me/Almohrar",0.4091451168060303,negative
,Politics,telegram,Almohrar,عاجــــــــــــــــل رويترز حزب العمال الكردستاني يحل نفسه ويقرر إنهاء الصراع المسلح مع تركيا لمتابعة الأخبار العاجلة ادخل واشترك httpstmealmohrar,"#عاجــــــــــــــــل

رويترز : حزب العمال الكردستاني يحل نفسه ويقرر إنهاء الصراع المسلح مع #تركيا

لمتابعة الأخبار العاجلة ادخل واشترك 👇👇
https://t.me/Almohrar",0.4364001750946045,negative
,Politics,telegram,Almohrar,عاجــــــــــــــــل متحدث العدالة والتنمية التركي عمر تشليك قرار تنظيم pkk بحل نفسه والتخلي عن السلاح بعد دعوة زعيمه عبد الله أوجلان خطوة مهمة لتحقيق هدف تركيا خالية من الإرهاب قرار حل pkk نفسه وتسليم سلاحه بشكل كامل بما يؤدي إلى إغلاق جميع فروعه وامتداداته وهياكله غير القانونية سيكون نقطة تحول حاسمة ستتابع المؤسسات الحكومية العملية ميدانيا بدقة وتعرض مراحلها على الرئيس أردوغان لمتابعة الأخبار العاجلة ادخل واشترك httpstmealmohrar,"#عاجــــــــــــــــل

متحدث العدالة والتنمية التركي عمر تشليك : قرار تنظيم PKK بحل نفسه والتخلي عن السلاح بعد دعوة زعيمه عبد الله أوجلان خطوة مهمة لتحقيق هدف تركيا خالية من الإرهاب

📌قرار حل ""PKK"" نفسه وتسليم سلاحه بشكل كامل بما يؤدي إلى إغلاق جميع فروعه وامتداداته وهياكله غير القانونية سيكون نقطة تحول حاسمة

📌ستتابع المؤسسات الحكومية العملية ميدانياً بدقة وتعرض مراحلها على الرئيس #أردوغان

لمتابعة الأخبار العاجلة ادخل واشترك 👇👇
https://t.me/Almohrar",0.27653855085372925,negative
,Politics,telegram,Almohrar,عاجــــــــــــــــل احتراق 9 محلات تجارية مسبقة الصنع في مخيم عطاء ضمن تجمع مخيمات أطمة شمالي إدلب إثر اندلاع حريق مجهول السبب في أحد المحلات وانتشار النيران في المكان فرق الدفاع المدني أخمدت الحريق والأضرار مادية بفضل الله لمتابعة الأخبار العاجلة ادخل واشترك httpstmealmohrar,"#عاجــــــــــــــــل

احتراق 9 محلات تجارية مسبقة الصنع في مخيم عطاء ضمن تجمع مخيمات #أطمة شمالي #إدلب إثر اندلاع حريق مجهول السبب في أحد المحلات وانتشار النيران في المكان فرق الدفاع المدني أخمدت الحريق والأضرار مادية بفضل الله

لمتابعة الأخبار العاجلة ادخل واشترك 👇👇
https://t.me/Almohrar",0.3641435503959656,negative
,Politics,telegram,Almohrar,عاجــــــــــــــــل الرئيس الأمريكي دونالد ترامب قد نرفع العقوبات عن سوريا نعمل مع الرئيس اردوغان بشأن سوريا نفكر في تخفيف العقوبات عن سوريا أردوغان طلب رفع العقوبات المفروضة على سوريا ندرس تخفيف العقوبات على سوريا ونرغب في منحها بداية جديدة سيكون لدينا قرار بشأن رفع العقوبات عن سوريا يوم الخميس لمتابعة الأخبار العاجلة ادخل واشترك httpstmealmohrar,"#عاجــــــــــــــــل

الرئيس الأمريكي دونالد ترامب : قد نرفع العقوبات عن سوريا

📌نعمل مع الرئيس اردوغان بشأن سوريا

📌نفكر في تخفيف العقوبات عن سوريا

📌أردوغان طلب رفع العقوبات المفروضة على ‌ سوريا

📌ندرس تخفيف العقوبات على سوريا ونرغب في منحها بداية جديدة

📌سيكون لدينا قرار بشأن رفع العقوبات عن سوريا يوم الخميس

لمتابعة الأخبار العاجلة ادخل واشترك 👇👇
https://t.me/Almohrar",0.37672698497772217,negative
,Politics,telegram,Almohrar,عاجــــــــــــــــل إلقاء القبض على الشبيح المجرم أسد كاسر صقور أحد عناصر ما يعرف بـ لواء درع الساحل بتهمة تنفيذ اعتداءات على نقاط أمنية وعسكرية داخل المدينة قام بتوثيقها بهدف نشر الفوضى وزعزعة الأمن والاستقرار لمتابعة الأخبار العاجلة ادخل واشترك httpstmealmohrar,"#عاجــــــــــــــــل

إلقاء القبض على الشبيح المجرم أسد كاسر صقور أحد عناصر ما يُعرف بـ لواء درع الساحل بتهمة تنفيذ اعتداءات على نقاط أمنية وعسكرية داخل المدينة قام بتوثيقها بهدف نشر الفوضى وزعزعة الأمن والاستقرار

لمتابعة الأخبار العاجلة ادخل واشترك 👇👇
https://t.me/Almohrar",0.3228824734687805,negative
